Cod Prodotto;Des Prodotto;Cod Uso Varieta;Des Uso Varieta;CODI_OCCU;CODI_DEST_USO;CODI_USO;CODI_QUAL;DESC_OCCU;DEST_USO;DESC_USO;DESC_QUAL
412;ROVEJA PISELLO SELVATICO;000;;412;000;000;000;ROVEJA PISELLO SELVATICO;;;
412;ROVEJA PISELLO SELVATICO;053;ERBAIO IN PUREZZA, ANNUALE - NON PERMANENTE;412;002;053;000;ROVEJA PISELLO SELVATICO;DA FORAGGIO;ERBAIO IN PUREZZA, ANNUALE - NON PERMANENTE;
413;SANTOREGGIA MONTANA;000;;413;000;000;000;SANTOREGGIA MONTANA;;;
414;SCORZONERA;000;;414;000;000;000;SCORZONERA;;;
415;TARASSACO;000;;415;000;000;000;TARASSACO;;;
416;VALERIANA;000;;416;000;000;000;VALERIANA;;;
417;VERBENA OFFICINALE;000;;417;000;000;000;VERBENA OFFICINALE;;;
418;VERGA D'ORO (SOLIDAGO VIRGA AUREA L.);000;;418;000;000;000;VERGA D'ORO (SOLIDAGO VIRGA AUREA L.);;;
419;VIOLA TRICOLOR;000;;419;000;000;000;VIOLA TRICOLOR;;;
421;ZENZERO;000;;421;000;000;000;ZENZERO;;;
422;BAMBU;000;;422;000;000;000;BAMBU;;;
422;BAMBU;500;USO ENERGETICO;422;000;000;022;BAMBU;;;ENERGETICO
423;CASTAGNO;000;;492;000;000;000;CASTAGNO;;;
423;CASTAGNO;002;DA LEGNO;492;004;000;000;CASTAGNO;DA LEGNO;;
423;CASTAGNO;049;MICORRIZATO;492;000;000;049;CASTAGNO;;;MICORRIZATO
423;CASTAGNO;092;DA LEGNO - MICORRIZZATO;492;004;000;049;CASTAGNO;DA LEGNO;;MICORRIZATO
424;BAMBU GIGANTE;000;;424;000;000;000;BAMBU GIGANTE;;;
424;BAMBU GIGANTE;500;USO ENERGETICO;424;000;000;022;BAMBU GIGANTE;;;ENERGETICO
425;NOCCIOLE;000;;494;000;000;000;NOCCIOLO;;;
425;NOCCIOLE;002;DA LEGNO;494;004;000;000;NOCCIOLO;DA LEGNO;;
425;NOCCIOLE;049;MICORRIZATO;494;000;000;049;NOCCIOLO;;;MICORRIZATO
425;NOCCIOLE;092;DA LEGNO - MICORRIZZATO;494;004;000;049;NOCCIOLO;DA LEGNO;;MICORRIZATO
426;TRITORDEUM - DA FORAGGIO;000;;244;002;000;000;TRITORDEUM;DA FORAGGIO;;
426;TRITORDEUM - DA FORAGGIO;010;INSILATO;244;002;010;000;TRITORDEUM;DA FORAGGIO;INSILATO;
426;TRITORDEUM - DA FORAGGIO;500;USO ENERGETICO;244;002;000;022;TRITORDEUM;DA FORAGGIO;;ENERGETICO
428;PINO NERO;000;;428;000;000;000;PINO NERO;;;
428;PINO NERO;049;MICORRIZATO;428;000;000;049;PINO NERO;;;MICORRIZATO
429;RAFANO;000;;429;000;000;000;RAFANO;;;
431;RAFANO - DA SEME;000;;429;008;000;000;RAFANO;DA SEME;;
432;BERGAMOTTO;000;VARIETA' GENERICA;432;000;000;000;BERGAMOTTO;;;
435;LIMETTE;000;VARIETA' GENERICA;435;000;000;000;LIMETTE;;;
436;SENAPE BRUNA;000;;436;000;000;000;SENAPE BRUNA;;;
437;SENAPE BRUNA - DA SEME;000;;436;008;000;000;SENAPE BRUNA;DA SEME;;
438;SENAPE NERA;000;;438;000;000;000;SENAPE NERA;;;
439;SENAPE NERA - DA SEME;000;;438;008;000;000;SENAPE NERA;DA SEME;;
441;MELE DA TAVOLA;000;VARIETA' GENERICA;044;005;000;000;MELO;DA MENSA;;
441;MELO;076;DA MENSA - VARIETA'CLUB;044;005;000;076;MELO;DA MENSA;;VARIETA'CLUB
443;TRITORDEUM;000;;244;011;000;000;TRITORDEUM;FAVE, SEMI, GRANELLA;;
445;LAVANDA;000;;445;000;000;000;LAVANDA;;;
446;POA ANNUA - DA SEME;000;;446;008;000;000;POA ANNUA;DA SEME;;
447;FUNGHI;000;;447;007;000;000;FUNGHI;DA ORTO;;
447;FUNGHI;001;COLTIVATO  IN CICLO ALTERNATO CON ALTRE COLTURE SEMINATIVO;447;007;000;046;FUNGHI;DA ORTO;;COLTIVATO  IN CICLO ALTERNATO CON ALTRE COLTURE SEMINATIVO
447;FUNGHI;058;USO FORESTALE;447;000;058;000;FUNGHI;;FORESTALE;
448;TRITORDEUM PER LA PRODUZIONE DI SEME;000;;244;008;000;000;TRITORDEUM;DA SEME;;
449;CRISANTEMO PER LA PRODUZIONE DI SEME;000;;080;008;000;000;CRISANTEMO;DA SEME;;
450;NOCI COMUNI;000;;495;000;000;000;NOCE;;;
450;NOCI COMUNI;002;DA LEGNO;495;004;000;000;NOCE;DA LEGNO;;
451;PERE DA TAVOLA;000;VARIETA' GENERICA;189;005;000;000;PERO;DA MENSA;;
453;FAGIOLO DALL'OCCHIO;000;;453;000;000;000;FAGIOLO DALL'OCCHIO;;;
454;FAGIOLO DI LIMA;000;;454;000;000;000;FAGIOLO DI LIMA;;;
455;ROBBIA DEI TINTORI;000;;455;000;000;000;ROBBIA DEI TINTORI;;;
456;ALOE;000;;456;000;000;000;ALOE;;;
457;ECHINACEA PALLIDA;000;;457;000;000;000;ECHINACEA PALLIDA;;;
457;ECHINACEA PALLIDA;063;RADICI;457;000;063;000;ECHINACEA PALLIDA;;RADICI;
458;ECHINACEA ANGUSTIFOLIA;000;;458;000;000;000;ECHINACEA ANGUSTIFOLIA;;;
458;ECHINACEA ANGUSTIFOLIA;063;RADICI;458;000;063;000;ECHINACEA ANGUSTIFOLIA;;RADICI;
459;TASSO;000;;459;000;000;000;TASSO;;;
460;PRATI ARIDI - FORMAZIONI ERBOSE CON ORCHIDEE;009;PASCOLO MAGRO NON AVVICENDATO PER ALMENO 5 ANNI - PERMANENTE;460;002;009;000;PRATI ARIDI - FORMAZIONI ERBOSE CON ORCHIDEE;DA FORAGGIO;PASCOLO MAGRO NON AVVICENDATO PER ALMENO 5 ANNI - PERMANENTE;
461;MOLINIETI - MOLINIA CAERULEA;009;PASCOLO MAGRO NON AVVICENDATO PER ALMENO 5 ANNI - PERMANENTE;461;002;009;000;MOLINIETI - MOLINIA CAERULEA;DA FORAGGIO;PASCOLO MAGRO NON AVVICENDATO PER ALMENO 5 ANNI - PERMANENTE;
462;GUADERELLA o LUTEOLA;000;;462;000;000;000;RESEDA o GUADERELLA o LUTEOLA;;;
